"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","10pF C0G","~","ECE445L:C_Axial_200mil","2",""
"C3,C9","1uF","~","ECE445L:C_Axial_200mil","2",""
"C4,C6,C7,C8","0.1uF","~","ECE445L:C_Axial_200mil","4",""
"C5,C11","0.01uF","~","ECE445L:C_Axial_200mil","2",""
"C10","2.2uF","~","ECE445L:CP_Radial_Tantal200mil","1",""
"C12,C13","4.7uF","~","ECE445L:CP_Radial_Tantal200mil","2",""
"C14,C15","0.1µ","~","ECE445L:C_Axial_200mil","2",""
"C17","10µ","~","ECE445L:CP_Radial_Tantal200mil","1",""
"D1,D2","LED","https://users.ece.utexas.edu/~valvano/mspm0/HLMP-4700.pdf","ECE445L:LED_D5.0mm","2",""
"H1,H2,H3,H4","~","","ECE445L:MountingHole_4_40","4",""
"J1","JTAG","~","ECE445L:PinHeader_1x05_P2.54mm_Vertical","1",""
"J2","Battery","~","ECE445L:PinHeader_1x02_P2.54mm_Vertical","1",""
"J3","Conn_01x08_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","1",""
"R1","1M","https://users.ece.utexas.edu/~valvano/mspm0/CarbonFilmresistors.pdf","ECE445L:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R2,R5","10k","https://users.ece.utexas.edu/~valvano/mspm0/CarbonFilmresistors.pdf","ECE445L:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","2",""
"R4,R6","470","https://users.ece.utexas.edu/~valvano/mspm0/CarbonFilmresistors.pdf","ECE445L:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","2",""
"RV1","PTA2043","~","ECE445L:PTA2043pot","1",""
"SW1","Reset","~","Button_Switch_THT:SW_PUSH_6mm","1",""
"SW2","UP","~","Button_Switch_THT:SW_PUSH_6mm","1",""
"TP1","+3.7V","~","ECE445L:Testpoint_1x02_P2.54mm","1",""
"TP2","GND","~","ECE445L:Testpoint_1x02_P2.54mm","1",""
"TP3","+3.3V","~","ECE445L:Testpoint_1x02_P2.54mm","1",""
"TP4","DACOUT","~","ECE445L:Testpoint_1x02_P2.54mm","1",""
"TP5","SIGNALOUT","~","ECE445L:Testpoint_1x02_P2.54mm","1",""
"U1","TM4C123GH6PMIR","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftm4c123gh6pm","ECE445L:QFP50P1200X1200X160-64N","1",""
"U2","Adafruit ST7735R","https://www.mouser.com/datasheet/2/737/ST7735R_V0_2-2489618.pdf","ECE445L:adafruit_st7735r2","1",""
"U3","LP2950-33LPRE3","http://www.ti.com/lit/gpn/lp2950","ECE445L:TL431CLPM","1",""
"U4","AD822ARZ-REEL7","","OP Amp:SOIC127P600X175-8N","1",""
"U5","AD5061BRJZ-1500RL7","https://www.analog.com/media/en/technical-documentation/data-sheets/AD5061.pdf","DAC:RJ_8_ADI-M","1",""
"Y1","ABM3-16.000MHZ-B2-T","https://abracon.com/Resonators/abm3.pdf","ECE445L:ABM3","1",""
